tenure instance      d   rep v           it        time    
F      p4000-1.txt   25  4   6155652     2898      56.117249 
F      p4000-1.txt   50  4   6145788     3262      59.807780 
F      p4000-1.txt   100 4   6130484     3025      59.406512 
F      p4000-1.txt   200 4   6125183     2497      44.532901 
F      p4000-1.txt   25  5   6153573     3151      63.905627 
F      p4000-1.txt   50  5   6145838     3141      52.927089 
F      p4000-1.txt   100 5   6136685     2890      51.293666 
F      p4000-1.txt   200 5   6135167     2706      45.361435 
F      p4000-1.txt   25  6   6136306     3269      57.567823 
F      p4000-1.txt   50  6   6137093     2498      49.320865 
F      p4000-1.txt   100 6   6136266     2669      44.817268 
F      p4000-1.txt   200 6   6148886     2813      49.956279 
F      p4000-1.txt   25  7   6166200     4954      83.653227 
F      p4000-1.txt   50  7   6134164     3347      58.288776 
F      p4000-1.txt   100 7   6139942     2839      50.717951 
F      p4000-1.txt   200 7   6123858     2460      44.716622 
F      p4000-1.txt   25  8   6135693     2917      49.521414 
F      p4000-1.txt   50  8   6149790     3633      66.627193 
F      p4000-1.txt   100 8   6146953     2339      37.939528 
F      p4000-1.txt   200 8   6102161     2456      44.620382 
F      p4000-1.txt   25  9   6162476     4065      67.422807 
F      p4000-1.txt   50  9   6148906     3171      49.378762 
F      p4000-1.txt   100 9   6130905     2592      48.783885 
F      p4000-1.txt   200 9   6143925     2670      48.471600 
F      p4000-1.txt   25  10  6161486     3557      65.411498 
F      p4000-1.txt   50  10  6133794     2807      49.547671 
F      p4000-1.txt   100 10  6124713     2580      45.125927 
F      p4000-1.txt   200 10  6134075     2220      40.042494 
R      p4000-1.txt   25  1   6131772     2492      47.530303
R      p4000-1.txt   50  1   6124514     3049      53.847175
R      p4000-1.txt   100 1   6134055     2492      44.462104
R      p4000-1.txt   200 1   6139256     2518      45.082362
R      p4000-1.txt   25  2   6136255     3134      52.633851
R      p4000-1.txt   50  2   6120291     2627      46.650555
R      p4000-1.txt   100 2   6131739     2523      45.908686
R      p4000-1.txt   200 2   6132278     2551      42.898448
R      p4000-1.txt   25  3   6159804     3559      61.248660
R      p4000-1.txt   50  3   6147955     2819      52.782711
R      p4000-1.txt   100 3   6149631     2797      50.495630
R      p4000-1.txt   200 3   6134030     2603      45.448308
R      p4000-1.txt   25  4   6152026     3777      65.908959
R      p4000-1.txt   50  4   6154527     3894      66.846371
R      p4000-1.txt   100 4   6154958     3242      60.549366
R      p4000-1.txt   200 4   6118544     2481      42.732208
R      p4000-1.txt   25  5   6151554     3188      56.116077
R      p4000-1.txt   50  5   6144049     2656      48.083022
R      p4000-1.txt   100 5   6103046     2394      41.383994
R      p4000-1.txt   200 5   6147008     2803      49.938497
R      p4000-1.txt   25  6   6117738     3044      51.898861
R      p4000-1.txt   50  6   6138777     2700      44.955028
R      p4000-1.txt   100 6   6143303     2900      53.529245
R      p4000-1.txt   200 6   6109512     2511      44.667627
R      p4000-1.txt   25  7   6144749     4956      85.102378
R      p4000-1.txt   50  7   6130358     2629      41.499205
R      p4000-1.txt   100 7   6140922     3013      47.808228
R      p4000-1.txt   200 7   6118550     2386      39.912773
R      p4000-1.txt   25  8   6146141     4394      71.528161
R      p4000-1.txt   50  8   6145847     3250      48.529315
R      p4000-1.txt   100 8   6153802     3093      55.301201
R      p4000-1.txt   200 8   6138897     2706      43.581134
R      p4000-1.txt   25  9   6157970     4350      72.610848
R      p4000-1.txt   50  9   6148762     3304      51.121364
R      p4000-1.txt   100 9   6151661     3311      65.045976
R      p4000-1.txt   200 9   6145101     2696      41.626984
R      p4000-1.txt   25  10  6146570     3101      49.243438
R      p4000-1.txt   50  10  6141554     2688      45.595822
R      p4000-1.txt   100 10  6119887     2722      41.148228
R      p4000-1.txt   200 10  6145236     2658      39.660582
F      p4000-2.txt   25  1   7741466     2883      50.550203 
F      p4000-2.txt   50  1   7757202     3052      54.710933 
F      p4000-2.txt   100 1   7744254     2506      48.536428 
F      p4000-2.txt   200 1   7750838     2618      49.362562 
F      p4000-2.txt   25  2   7783824     6682      127.258908
F      p4000-2.txt   50  2   7737898     2445      50.096587 
F      p4000-2.txt   100 2   7768129     2801      52.449997 
F      p4000-2.txt   200 2   7734251     2437      47.461943 
F      p4000-2.txt   25  3   7751056     3588      68.721856 
F      p4000-2.txt   50  3   7751151     2670      52.995026 
F      p4000-2.txt   100 3   7745377     2633      53.909343 
F      p4000-2.txt   200 3   7741356     2541      46.962610 
F      p4000-2.txt   25  4   7730131     2674      50.802207 
F      p4000-2.txt   50  4   7758440     2919      58.608492 
F      p4000-2.txt   100 4   7770311     3025      57.296620 
F      p4000-2.txt   200 4   7747055     2687      49.778144 
F      p4000-2.txt   25  5   7766143     3230      62.395440 
F      p4000-2.txt   50  5   7748760     2618      49.660442 
F      p4000-2.txt   100 5   7748222     2625      49.448417 
F      p4000-2.txt   200 5   7739657     2498      42.248868 
F      p4000-2.txt   25  6   7744498     3316      55.927764 
F      p4000-2.txt   50  6   7748338     2753      49.665636 
F      p4000-2.txt   100 6   7751369     2639      49.741990 
F      p4000-2.txt   200 6   7755997     2534      46.284298 
F      p4000-2.txt   25  7   7768461     3077      51.279065 
F      p4000-2.txt   50  7   7757223     2856      55.203618 
F      p4000-2.txt   100 7   7725794     2492      46.337102 
F      p4000-2.txt   200 7   7748376     2681      51.574466 
F      p4000-2.txt   25  8   7777134     2734      49.991859 
F      p4000-2.txt   50  8   7762902     3700      64.591891 
F      p4000-2.txt   100 8   7755274     2597      45.910521 
F      p4000-2.txt   200 8   7770268     2862      55.813999 
F      p4000-2.txt   25  9   7764278     2957      48.389647 
F      p4000-2.txt   50  9   7765266     2747      49.391384 
F      p4000-2.txt   100 9   7768329     2779      52.514986 
F      p4000-2.txt   200 9   7744852     2657      47.155001 
F      p4000-2.txt   25  10  7768280     2913      52.589247 
F      p4000-2.txt   50  10  7752280     2662      49.599436 
F      p4000-2.txt   100 10  7747728     3120      60.482173 
F      p4000-2.txt   200 10  7749451     2693      48.950733 
R      p4000-2.txt   25  1   7741657     3287      63.922532
R      p4000-2.txt   50  1   7743179     2699      54.126298
R      p4000-2.txt   100 1   7763797     2729      47.681464
R      p4000-2.txt   200 1   7750543     2509      42.603273
R      p4000-2.txt   25  2   7758929     3836      74.060252
R      p4000-2.txt   50  2   7742003     2767      48.462718
R      p4000-2.txt   100 2   7744763     2714      48.666715
R      p4000-2.txt   200 2   7752931     2796      47.554599
R      p4000-2.txt   25  3   7744549     2997      52.700608
R      p4000-2.txt   50  3   7725804     2592      48.221192
R      p4000-2.txt   100 3   7750706     3095      56.302646
R      p4000-2.txt   200 3   7748291     2489      46.028528
R      p4000-2.txt   25  4   7767079     3256      64.137620
R      p4000-2.txt   50  4   7755151     2848      53.839213
R      p4000-2.txt   100 4   7759561     2773      51.756581
R      p4000-2.txt   200 4   7745300     2550      47.938457
R      p4000-2.txt   25  5   7733941     3138      59.982343
R      p4000-2.txt   50  5   7767133     3277      56.312098
R      p4000-2.txt   100 5   7745959     2722      49.809573
R      p4000-2.txt   200 5   7750428     3054      49.496122
R      p4000-2.txt   25  6   7761160     2939      51.843622
R      p4000-2.txt   50  6   7755581     2841      48.859301
R      p4000-2.txt   100 6   7764431     2889      50.355648
R      p4000-2.txt   200 6   7761424     2897      46.523485
R      p4000-2.txt   25  7   7735473     2716      48.382696
R      p4000-2.txt   50  7   7757823     2753      46.000573
R      p4000-2.txt   100 7   7771235     2814      54.528252
R      p4000-2.txt   200 7   7725196     2535      38.307477
R      p4000-2.txt   25  8   7772474     3564      64.486241
R      p4000-2.txt   50  8   7773698     2960      52.568525
R      p4000-2.txt   100 8   7745263     2674      44.699726
R      p4000-2.txt   200 8   7765573     2592      39.884594
R      p4000-2.txt   25  9   7764410     3195      52.020991
R      p4000-2.txt   50  9   7746032     2649      43.204208
R      p4000-2.txt   100 9   7754657     2642      41.009720
R      p4000-2.txt   200 9   7730544     2358      40.816801
R      p4000-2.txt   25  10  7767479     3383      56.792571
R      p4000-2.txt   50  10  7759149     2980      46.743095
R      p4000-2.txt   100 10  7769480     2969      45.376463
R      p4000-2.txt   200 10  7757785     2645      44.886827
F      p5000-1.txt   25  1   8526914     4105      99.571854 
F      p5000-1.txt   50  1   8467066     2998      72.592096 
F      p5000-1.txt   100 1   8524688     3638      84.396673 
F      p5000-1.txt   200 1   8490688     3105      70.791506 
F      p5000-1.txt   25  2   8520994     3491      82.147826 
F      p5000-1.txt   50  2   8505005     3995      96.050017 
F      p5000-1.txt   100 2   8517715     3298      78.276843 
F      p5000-1.txt   200 2   8497478     3086      77.878215 
F      p5000-1.txt   25  3   8497642     3912      95.365459 
F      p5000-1.txt   50  3   8523259     4458      110.767803
F      p5000-1.txt   100 3   8478855     3774      89.879990 
F      p5000-1.txt   200 3   8503546     3707      89.000831 
F      p5000-1.txt   25  4   8490528     4087      104.030641
F      p5000-1.txt   50  4   8512960     3198      81.296548 
F      p5000-1.txt   100 4   8481560     3053      68.512929 
F      p5000-1.txt   200 4   8495674     3008      71.974732 
F      p5000-1.txt   25  5   8501325     3632      85.029962 
F      p5000-1.txt   50  5   8503385     3405      68.128338 
F      p5000-1.txt   100 5   8502297     3640      79.252268 
F      p5000-1.txt   200 5   8503599     3236      73.629196 
F      p5000-1.txt   25  6   8504451     3244      71.169291 
F      p5000-1.txt   50  6   8516995     3470      76.588183 
F      p5000-1.txt   100 6   8510575     3314      73.730523 
F      p5000-1.txt   200 6   8500246     3363      75.577175 
F      p5000-1.txt   25  7   8513967     5350      122.099339
F      p5000-1.txt   50  7   8512507     4680      103.461849
F      p5000-1.txt   100 7   8526054     4071      97.517934 
F      p5000-1.txt   200 7   8496058     3229      71.871585 
F      p5000-1.txt   25  8   8505364     5527      126.038242
F      p5000-1.txt   50  8   8475505     3965      91.521185 
F      p5000-1.txt   100 8   8493306     3182      73.171580 
F      p5000-1.txt   200 8   8504706     3502      78.507379 
F      p5000-1.txt   25  9   8517219     4295      93.772139 
F      p5000-1.txt   50  9   8516964     4404      105.873824
F      p5000-1.txt   100 9   8492702     3347      74.474368 
F      p5000-1.txt   200 9   8532946     3784      89.439221 
F      p5000-1.txt   25  10  8507980     4383      105.131848
F      p5000-1.txt   50  10  8515286     4229      98.586273 
F      p5000-1.txt   100 10  8521146     3501      84.847776 
F      p5000-1.txt   200 10  8501126     3509      80.220204 
R      p5000-1.txt   25  1   8487922     3560      80.536726
R      p5000-1.txt   50  1   8487449     3681      75.740856
R      p5000-1.txt   100 1   8512975     3274      77.689878
R      p5000-1.txt   200 1   8499878     3353      74.132700
R      p5000-1.txt   25  2   8516502     4185      88.244163
R      p5000-1.txt   50  2   8518223     4119      88.899519
R      p5000-1.txt   100 2   8500856     3344      71.002600
R      p5000-1.txt   200 2   8523166     3339      78.703179
R      p5000-1.txt   25  3   8519540     3912      89.968717
R      p5000-1.txt   50  3   8495604     3291      75.059599
R      p5000-1.txt   100 3   8522729     3853      81.782335
R      p5000-1.txt   200 3   8527705     3588      80.362649
R      p5000-1.txt   25  4   8530166     4080      89.967343
R      p5000-1.txt   50  4   8486540     3242      71.449804
R      p5000-1.txt   100 4   8518246     3962      83.350529
R      p5000-1.txt   200 4   8491884     3629      82.246870
R      p5000-1.txt   25  5   8517440     4751      100.579271
R      p5000-1.txt   50  5   8529376     3442      75.062879
R      p5000-1.txt   100 5   8521350     4041      85.065940
R      p5000-1.txt   200 5   8504727     3180      69.966051
R      p5000-1.txt   25  6   8503024     3593      88.649773
R      p5000-1.txt   50  6   8512233     4147      95.301412
R      p5000-1.txt   100 6   8485075     3362      77.905384
R      p5000-1.txt   200 6   8509242     3413      68.314942
R      p5000-1.txt   25  7   8500797     5923      130.499635
R      p5000-1.txt   50  7   8488970     4047      80.707877
R      p5000-1.txt   100 7   8465324     3756      73.388114
R      p5000-1.txt   200 7   8481732     3069      63.108744
R      p5000-1.txt   25  8   8540670     6050      127.853619
R      p5000-1.txt   50  8   8522699     3733      72.059530
R      p5000-1.txt   100 8   8509596     3587      79.189377
R      p5000-1.txt   200 8   8477248     3586      83.351824
R      p5000-1.txt   25  9   8526535     5156      106.022957
R      p5000-1.txt   50  9   8516386     3852      83.412164
R      p5000-1.txt   100 9   8494305     3449      69.981947
R      p5000-1.txt   200 9   8509753     3389      79.630539
R      p5000-1.txt   25  10  8497394     3723      81.361857
R      p5000-1.txt   50  10  8522857     4725      87.748434
R      p5000-1.txt   100 10  8476392     3386      63.048091
R      p5000-1.txt   200 10  8497784     3163      45.186837
F      p5000-2.txt   25  1   10788405    4452      97.051153 
F      p5000-2.txt   50  1   10801313    4037      99.737546 
F      p5000-2.txt   100 1   10758790    3341      75.369441 
F      p5000-2.txt   200 1   10763485    3392      79.360569 
F      p5000-2.txt   25  2   10798523    3833      87.062334 
F      p5000-2.txt   50  2   10776855    4114      101.345793
F      p5000-2.txt   100 2   10746371    3229      74.686513 
F      p5000-2.txt   200 2   10750176    3072      74.043306 
F      p5000-2.txt   25  3   10745335    3656      93.762558 
F      p5000-2.txt   50  3   10750472    3538      89.828006 
F      p5000-2.txt   100 3   10785027    3643      86.374265 
F      p5000-2.txt   200 3   10774347    3110      77.336710 
F      p5000-2.txt   25  4   10782455    3824      96.164720 
F      p5000-2.txt   50  4   10795450    3934      95.597289 
F      p5000-2.txt   100 4   10729820    3034      71.371197 
F      p5000-2.txt   200 4   10747302    3176      71.166964 
F      p5000-2.txt   25  5   10784353    3876      87.984489 
F      p5000-2.txt   50  5   10776438    3748      84.334192 
F      p5000-2.txt   100 5   10777883    3637      82.498817 
F      p5000-2.txt   200 5   10778315    3460      74.610694 
F      p5000-2.txt   25  6   10791543    3757      81.349003 
F      p5000-2.txt   50  6   10755274    3494      77.540339 
F      p5000-2.txt   100 6   10752607    3296      76.068448 
F      p5000-2.txt   200 6   10765835    3498      82.281309 
F      p5000-2.txt   25  7   10776746    3623      84.965348 
F      p5000-2.txt   50  7   10770123    3526      74.303615 
F      p5000-2.txt   100 7   10779342    3360      78.471120 
F      p5000-2.txt   200 7   10767302    3435      79.458945 
F      p5000-2.txt   25  8   10756820    3810      89.862247 
F      p5000-2.txt   50  8   10770615    3552      84.596232 
F      p5000-2.txt   100 8   10778754    3611      80.820876 
F      p5000-2.txt   200 8   10745594    3144      73.630486 
F      p5000-2.txt   25  9   10772965    3208      73.730734 
F      p5000-2.txt   50  9   10792125    3832      92.944406 
F      p5000-2.txt   100 9   10772087    3775      88.411707 
F      p5000-2.txt   200 9   10745780    3133      74.770699 
F      p5000-2.txt   25  10  10769607    4127      99.257448 
F      p5000-2.txt   50  10  10793153    3881      90.629217 
F      p5000-2.txt   100 10  10776758    3639      87.609632 
