instance      b1  b2  rep value     t       it        
bqp100-1      8   12  8   -7826     18.24   166748    
bqp100-1      8   12  9   -7671     15.13   140008    
bqp100-1      8   12  10  -7664     16.82   152378    
bqp100-1      8   12  11  -7742     13.94   124180    
bqp100-1      8   12  12  -7750     18.86   174266    
bqp100-1      8   12  13  -7928     17.46   153564    
bqp100-1      8   12  14  -7822     17.34   162154    
bqp100-1      8   12  15  -7840     24.06   223896    
bqp100-1      10  10  1   -7890     20.07   158318    
bqp100-1      10  10  2   -7928     22.21   178268    
bqp100-1      10  10  3   -7898     23.39   195926    
bqp100-1      10  10  4   -7720     17.71   147344    
bqp100-1      10  10  5   -7790     19.61   164330    
bqp100-1      10  10  6   -7538     300.07  1846238   
bqp100-1      10  10  7   -7970     18.89   160856    
bqp100-1      10  10  8   -7707     300.01  1793448   
bqp100-1      10  10  9   -7659     19.84   180206    
bqp100-1      10  10  10  -7586     20.32   179952    
bqp100-1      10  10  11  -7826     19.50   179384    
bqp100-1      10  10  12  -7904     23.66   201930    
bqp100-1      10  10  13  -7600     20.51   175760    
bqp100-1      10  10  14  -7826     19.98   155430    
bqp100-1      10  10  15  -7304     300.06  2239572   
bqp100-1      12  8   1   -7676     17.61   144042    
bqp100-1      12  8   2   -7724     14.76   121080    
bqp100-1      12  8   3   -7672     12.44   103688    
bqp100-1      12  8   4   -7840     300.02  390470    
bqp100-1      12  8   5   -7796     26.80   140292    
bqp100-1      12  8   6   -7942     300.05  1814440   
bqp100-1      12  8   7   -7496     20.67   125442    
bqp100-1      12  8   8   -7723     300.10  1038812   
bqp100-1      12  8   9   -7780     300.15  1804284   
bqp100-1      12  8   10  -7731     300.05  1614584   
bqp100-1      12  8   11  -7970     12.83   114020    
bqp100-1      12  8   12  -7606     300.05  2474302   
bqp100-1      12  8   13  -7695     20.71   147162    
bqp100-1      12  8   14  -7446     300.02  591812    
bqp100-1      12  8   15  -7442     300.01  605308
bqp100-1      14  6   1   -7570     300.04  1456176   
bqp100-1      14  6   2   -7864     16.62   131708    
bqp100-1      14  6   3   -7679     12.02   94510     
bqp100-1      14  6   4   -7738     300.03  855956    
bqp100-1      14  6   5   -7840     10.54   91396     
bqp100-1      14  6   6   -7770     13.33   117402    
bqp100-1      14  6   7   -7519     300.04  1570722   
bqp100-1      14  6   8   -7663     300.05  1147168   
bqp100-1      14  6   9   -7728     300.04  2248038   
bqp100-1      14  6   10  -7970     10.95   91294     
bqp100-1      14  6   11  -7842     300.04  1684182   
bqp100-1      14  6   12  -7713     300.04  1062738   
bqp100-1      14  6   13  -7616     300.03  1299934   
bqp100-1      14  6   14  -7672     300.05  1886946   
bqp100-1      14  6   15  -7888     12.28   100690
bqp100-1      16  4   1   -7626     8.76    75096     
bqp100-1      16  4   2   -7794     300.00  1940680   
bqp100-1      16  4   3   -7577     300.01  1518822   
bqp100-1      16  4   4   -7520     9.42    81388     
bqp100-1      16  4   5   -7542     300.01  1855532   
bqp100-1      16  4   6   -7712     300.05  1317186   
bqp100-1      16  4   7   -7684     300.02  1917720   
bqp100-1      16  4   8   -7714     300.09  2167166   
bqp100-1      16  4   9   -7692     300.01  1246418   
bqp100-1      16  4   10  -7596     300.07  1914560   
bqp100-1      16  4   11  -7596     300.01  1835648   
bqp100-1      16  4   12  -7648     300.04  1072596   
bqp100-1      16  4   13  -7435     300.05  1001314   
bqp100-1      16  4   14  -7752     300.01  1955396   
bqp100-1      16  4   15  -7102     300.01  1558532 
bqp100-1      18  2   1   -6977     300.03  858830    
bqp100-1      18  2   2   -6077     300.04  1167806   
bqp100-1      18  2   3   -5620     300.06  1353274   
bqp100-1      18  2   4   -6907     300.05  1168718   
bqp100-1      18  2   5   -6914     300.04  966078    
bqp100-1      18  2   6   -6553     300.02  663494    
bqp100-1      18  2   7   -6469     300.05  1652904   
bqp100-1      18  2   8   -6312     300.03  1444496   
bqp100-1      18  2   9   -6450     300.03  1443962   
bqp100-1      18  2   10  -6376     300.11  1765450   
bqp100-1      18  2   11  -3868     300.00  1208384   
bqp100-1      18  2   12  -5445     300.02  1098506   
bqp100-1      18  2   13  -3223     300.05  1091586   
bqp100-1      18  2   14  -7327     300.05  1182238   
bqp100-1      18  2   15  -6548     300.05  1672654 
bqp250-1      2   18  1   -45431    254.44  496746    
bqp250-1      2   18  2   -45579    280.78  546098    
bqp250-1      2   18  3   -44956    235.80  456830    
bqp250-1      2   18  4   -44204    300.49  586882    
bqp250-1      2   18  5   -43510    234.34  456628    
bqp250-1      2   18  6   -44630    246.22  479760    
bqp250-1      2   18  7   -45285    214.79  417962    
bqp250-1      2   18  8   -45391    300.19  583034    
bqp250-1      2   18  9   -45477    300.57  584066    
bqp250-1      2   18  10  -44579    257.80  504692    
bqp250-1      2   18  11  -44456    287.33  559006    
bqp250-1      2   18  12  -44979    262.42  507444    
bqp250-1      2   18  13  -44963    231.57  450548    
bqp250-1      2   18  14  -44309    269.64  523128    
bqp250-1      2   18  15  -45235    232.73  448974
bqp250-1      4   16  1   -45452    300.91  581690    
bqp250-1      4   16  2   -44724    301.66  582386    
bqp250-1      4   16  3   -45327    300.15  577250    
bqp250-1      4   16  4   -45054    231.27  443098    
bqp250-1      4   16  5   -44878    267.01  508356    
bqp250-1      4   16  6   -45369    300.75  582564    
bqp250-1      4   16  7   -45417    263.67  506778    
bqp250-1      4   16  8   -45349    302.22  584400    
bqp250-1      4   16  9   -44269    300.14  579652    
bqp250-1      4   16  10  -44643    301.08  582816    
bqp250-1      4   16  11  -45016    277.33  537548    
bqp250-1      4   16  12  -45443    271.85  521820    
bqp250-1      4   16  13  -44799    302.34  588828    
bqp250-1      4   16  14  -44757    290.38  560286    
bqp250-1      4   16  15  -45551    299.35  576894 
bqp250-1      6   14  1   -45169    302.71  579230    
bqp250-1      6   14  2   -45251    300.36  568580    
bqp250-1      6   14  3   -44686    302.78  593590    
bqp250-1      6   14  4   -45209    273.98  527736    
bqp250-1      6   14  5   -44897    303.05  590172    
bqp250-1      6   14  6   -45082    302.33  585680    
bqp250-1      6   14  7   -43926    296.25  574314    
bqp250-1      6   14  8   -44068    301.53  591440    
bqp250-1      6   14  9   -45442    300.40  585784    
bqp250-1      6   14  10  -44876    302.59  589282    
bqp250-1      6   14  11  -44589    292.99  567812    
bqp250-1      6   14  12  -45324    300.20  582788    
bqp250-1      6   14  13  -45474    301.57  581736    
bqp250-1      6   14  14  -44798    302.53  590586    
bqp250-1      6   14  15  -43852    302.58  591134
bqp250-1      8   12  1   -44516    193.42  614480    
bqp250-1      8   12  2   -43339    118.90  362516    
bqp250-1      8   12  3   -44906    159.69  502464    
bqp250-1      8   12  4   -44725    169.37  542972    
bqp250-1      8   12  5   -44112    121.13  386762    
bqp250-1      8   12  6   -44825    161.71  522296    
bqp250-1      8   12  7   -43867    141.98  425360    
bqp250-1      8   12  8   -45095    135.39  423884    
bqp250-1      8   12  9   -44910    171.46  552404    
bqp250-1      8   12  10  -45263    218.25  708326    
bqp250-1      8   12  11  -44662    300.12  539962    
bqp250-1      8   12  12  -44459    300.01  527160    
bqp250-1      8   12  13  -45041    196.95  614746    
bqp250-1      8   12  14  -43349    109.82  346062    
bqp250-1      8   12  15  -45304    191.74  600766
bqp250-1      10  10  1   -44582    187.67  480566    
bqp250-1      10  10  2   -44705    151.36  389750    
bqp250-1      10  10  3   -43474    139.02  389172    
bqp250-1      10  10  4   -43755    161.43  373952    
bqp250-1      10  10  5   -43166    300.15  430862    
bqp250-1      10  10  6   -43103    141.17  373772    
bqp250-1      10  10  7   -44013    137.46  377236    
bqp250-1      10  10  8   -43662    143.35  376398    
bqp250-1      10  10  9   -44331    124.17  332706    
bqp250-1      10  10  10  -42415    140.64  381280    
bqp250-1      10  10  11  -44394    107.23  326850    
bqp250-1      10  10  12  -41927    160.09  449232    
bqp250-1      10  10  13  -45002    300.13  500572    
bqp250-1      10  10  14  -45173    300.06  725244    
bqp250-1      10  10  15  -44171    126.18  462728    
bqp250-1      12  8   1   -41626    110.06  354882    
bqp250-1      12  8   2   -43771    109.98  350622    
bqp250-1      12  8   3   -44101    88.57   347558    
bqp250-1      12  8   4   -43451    90.70   353142    
bqp250-1      12  8   5   -42461    90.34   338836    
bqp250-1      12  8   6   -43624    300.14  478942    
bqp250-1      12  8   7   -44184    101.32  383262    
bqp250-1      12  8   8   -44266    81.36   291628    
bqp250-1      12  8   9   -43457    300.16  650954    
bqp250-1      12  8   10  -43844    300.23  810672    
bqp250-1      12  8   11  -43095    86.33   313650    
bqp250-1      12  8   12  -43878    96.16   351404    
bqp250-1      12  8   13  -44273    105.99  392860    
bqp250-1      12  8   14  -42625    300.01  559256
bqp250-1      12  8   15  -42738    88.76   343368
bqp250-1      14  6   1   -41566    300.12  411316    
bqp250-1      14  6   2   -44452    85.81   305402    
bqp250-1      14  6   3   -44113    300.25  815352    
bqp250-1      14  6   4   -44053    300.00  609538    
bqp250-1      14  6   5   -43633    300.11  544368    
bqp250-1      14  6   6   -43200    80.91   326708    
bqp250-1      14  6   7   -43115    300.05  547396    
bqp250-1      14  6   8   -41958    300.09  623888    
bqp250-1      14  6   9   -44001    300.05  443036    
bqp250-1      14  6   10  -44221    74.45   287738    
bqp250-1      14  6   11  -44169    300.06  589850    
bqp250-1      14  6   12  -42593    300.17  810596    
bqp250-1      14  6   13  -41983    300.12  691342    
bqp250-1      14  6   14  -42519    300.05  433724    
bqp250-1      14  6   15  -44561    74.90   289110 
bqp250-1      16  4   1   -41740    300.01  497986    
bqp250-1      16  4   2   -42807    82.18   236744    
bqp250-1      16  4   3   -41669    300.14  355338    
bqp250-1      16  4   4   -43377    300.01  404958    
bqp250-1      16  4   5   -44227    300.17  418306    
bqp250-1      16  4   6   -43249    300.12  503138    
bqp250-1      16  4   7   -42347    300.09  533860    
bqp250-1      16  4   8   -43752    300.02  352484    
bqp250-1      16  4   9   -43956    300.24  301472    
bqp250-1      16  4   10  -43430    300.01  481126    
bqp250-1      16  4   11  -44066    300.14  462630    
bqp250-1      16  4   12  -43359    300.20  475234    
bqp250-1      16  4   13  -44159    300.15  339244    
bqp250-1      16  4   14  -42881    300.06  511984    
bqp250-1      16  4   15  -42921    300.06  315988 
